film_name,genre,year,country,rate_film,description
Человек-паук: Нет пути домой,"фантастика, боевик, приключения",2021,США,9.3,"Впервые в киноистории Человека-паука наш дружелюбный герой разоблачен. Теперь супергеройские подвиги стали неотделимы от его обычной жизни. Когда он просит помощи у Доктора Стрэнджа, ситуация только накаляется. И Питер Паркер начинает понимать, что такое быть Человеком-пауком на самом деле."
Истребитель демонов: Поезд «Бесконечный»,"боевик, приключения, анимация",2020,Япония,9.2,"Тандзиро с друзьями из отряда уничтожителей демонов расследует серию загадочных исчезновений внутри мчащегося поезда. Но компания ещё не знает, что в составе находится один из двенадцати Лунных демонов, и он приготовил для них ловушку."
Лука,"анимация, приключения, фэнтези",2021,США,9.2,"Свои незабываемые каникулы, в которых есть место и домашней пасте, и мороженому, и бесконечным поездкам на мопеде, мальчик по имени Лука проводит в красивом приморском городке, расположенном на итальянской Ривьере. Ни одно приключение Луки не обходится без участия его нового лучшего друга, и беззаботность отдыха омрачает только лишь тот факт, что на самом деле в облике мальчика скрывается морской монстр из глубин лагуны, на берегу которой стоит городок."
Зеленая миля,драма,1999,США,9.1,"""Зеленая миля"" - история, рассказанная по воспоминаниям. Пол Эджкомб, работавший во времена Великой депрессии охранником блока смертников в исправительной тюрьме Cold Mountain, провожал многих преступников в их последний путь от камеры до электрического стула по длинному, выстеленному зеленым линолеумом коридору."
Зверопой 2,"анимация, мюзикл",2021,США,9.1,"Тяжело быть продюсером, когда ты коала и у тебя лапки. Еще сложнее, когда вся твоя труппа – это танцующий без остановки пухляш, колючая девочка-панк, застенчивая школьница, верзила-гангстер и многодетная мама, чьи дети – поросята в прямом смысле слова. Рецепт успеха прост - рвануть в мировую столицу развлечений, завербовать легендарного рок-музыканта и взорвать сцену новым бомбическим шоу! Кто сказал, что мечтать вредно? Видим цель, не видим препятствий!"
Шан-Чи и легенда десяти колец,"фэнтези, боевик, комедия",2021,США,9.0,"Мастеру боевых искусств Шан-Чи предстоит противостоять призракам из собственного прошлого, по мере того как его втягивают в паутину интриг таинственной организации «Десять колец»."
FORD против FERRARI,"биография, драма, спорт",2019,США,9.0,"Обладатели премии «Оскар» Мэтт Дэймон и Кристиан Бэйл в реальной истории двух мечтателей, которые объединили усилия и потрясли мир. Фильм Джеймса Мэнголда рассказывает о взаимоотношениях американского автомобильного конструктора Кэрролла Шелби и отважного британского гонщика Кена Майлза, которые вместе бросили вызов корпорациям и собственным демонам, чтобы создать абсолютно новый спорткар, который смог конкурировать с Ferrari на чемпионате мира, прошедшем во Франции в середине 1960-х."
1+1,"комедия, драма, биография",2011,Франция,9.0,"Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, — молодого жителя предместья Дрисса, только что освободившегося из тюрьмы. Несмотря на то, что Филипп прикован к инвалидному креслу, Дриссу удается привнести в размеренную жизнь аристократа дух приключений."
Король Лев,"мюзикл, приключения, драма, семейный, комедия, анимация",1994,США,9.0,"У величественного короля-льва Муфасы рождается наследник — львенок по имени Симба. Уже в детстве любознательный малыш становится жертвой интриг своего завистливого дяди Шрама, мечтающего только о власти и готового ради этого на все. В течение мультфильма показан весь трудный путь маленького Симбы, от изгнания, борьбы, до осознания того, что значит быть настоящим Королем. Закаленный испытаниями, он познает горечь утраты, предательство и в нелегкой борьбе завоюет свое законное место в ""круге жизни"", а главное, обретет верных, беззаботных, озорных и крайне забавных друзей: Тимона и Пумбу. Вместе они пройдут весь путь Симбы под веселую песню ""Акуна Матата"", которая стала своеобразным гимном хорошего настроения."
Кошачьи миры Луиса Уэйна,"биография, драма, исторический",2021,Великобритания,8.9,"Удивительная, но реальная история одного из самых необычных художников всех времен. Картины эксцентричного аристократа Луиса Уэйна (Бенедикт Камбербэтч) обладают одной общей чертой – он пишет исключительно антропоморфных котов. Благодаря любви своей жены Эмили (Клэр Фой), Луис навсегда меняет взгляд людей на жизнь и на кошек. Но с каждой новой картиной причудливые миры Луиса начинают всё сильнее заменять ему реальность."
101 далматинец,"семейный, приключения, анимация",1961,США,8.9,"Алчная модница Круэлла Де Виль задумала сшить себе пятнистый меховой наряд из шкурок бедных малюток. Однако животные, объединившись, ухитряются проучить ее."
The Box,"драма, музыка, мюзикл",2021,Корея,8.9,"Уличный музыкант знакомится с музыкальным продюсером, и они вдвоём отправляются в путешествие, которое перевернёт их жизни."
Хатико: самый верный друг,"семейный, драма",2009,США,8.9,"Пес породы акита-ину по кличке Хатико провожал и встречал хозяина на вокзале каждый день. После смерти хозяина Хатико продолжал верно ждать его на вокзале в надежде, что друг вернется. Он пережил своего хозяина на 10 лет и все эти годы неизменно приходил на место встречи."
Побег из Шоушенка,"драма, триллер",1994,США,8.9,"Банкир Энди Дюфрейн (Тим Роббинс) осужден на два пожизненных срока за убийство жены и ее любовника, но не признает вины. Отбывать наказание он должен в Шоушенке — мрачной и жестокой тюрьме в Новой Англии, где царит беззаконие и насилие со стороны начальника и надзирателей и среди заключенных. Неожиданно Энди заводит дружбу с местным контрабандистом по прозвищу Рэд (Морган Фримен), а затем получает и покровительство начальства за помощь в коррупционных схемах. Но он не хочет быть вечным рабом тюремных стен, где выживание сводится к простому выбору: заниматься жизнью или заниматься смертью. Энди готовит побег."
Пираты Карибского моря: Проклятие черной жемчужины,"приключения, боевик",2003,США,8.9,"Карибское море, XVII век. Красавица Элизабет получает в подарок таинственный золотой медальон, который приносит ей и ее другу Уиллу Тернеру сплошные несчастья – ведь он проклят пиратами Карибского моря! Много лет полчища мертвых пиратов, обреченных на вечные муки, во главе со свирепым Капитаном Барбоссой, стерегли фантастические сокровища. Пропажа медальона из их сокровищницы вынуждает полуистлевших скелетов пойти штурмом на Порт Ройал и вернуть его вместе с заложницей – дочерью губернатора острова Элизабет. Отважный капитан Джек Спэрроу снаряжает команду, чтобы поквитаться с отвратительными разбойниками. Уилл с радостью присоединяется к команде, и они вместе отправляются на встречу приключениям, от которых стынет в жилах кровь, и мурашки бегут по телу..."
Небо,"военный, драма",2020,Россия,8.9,"В центре повествования три главных героя – подполковник Сошников, капитан Муравьев и майор Захаров. Три возраста, три разных характера, три разных судьбы, которым суждено будет сойтись на военной базе Хмеймим."
